farm_name,year,peak_ndvi,peak_day,season_duration,avg_ndwi_stress,seasonal_integral,ndvi_std_dev,performance_cluster,performance_score
albadr,2024,0.6121217307357328,316,260,-0.43942055668596725,19.353747844037876,0.1972261941304294,0,Premium Tier
albadr,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
alhabibah,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
alhabibah,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
alhabibah,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
alhabibah,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
alhabibah,2022,0.5731174160706857,336,280,-0.45765084662684286,19.464261045073506,0.18541042026268517,0,Premium Tier
alhabibah,2023,0.4773687245635765,336,330,-0.3472627879831869,14.261789407318956,0.15822597516482417,0,Premium Tier
alhabibah,2024,0.541393523333624,316,260,-0.3863690271811201,17.45310184689334,0.1737610969271118,0,Premium Tier
alhabibah,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
alia,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
alia,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
alia,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
alia,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
alia,2022,0.6276180810966155,336,280,-0.4925252336767092,21.5359770779642,0.21511161014381114,0,Premium Tier
alia,2023,0.538354530215465,336,330,-0.3701573048873335,16.062146509664448,0.18424602801664658,0,Premium Tier
alia,2024,0.5943493445197009,351,295,-0.40242022273164046,19.214633491756345,0.19917306001832488,0,Premium Tier
alia,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
alia almadinah,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
alia almadinah,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
alia almadinah,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
