farm_id,farm_name,NDVI,NDWI,SAVI,time
Farm 1,Farm 1,0.5025568621584163,-0.5383092543367088,0.7537233071511091,1545120183000
Farm 1,Farm 1,0.5206746468394788,-0.5402516050401944,0.7808944268580668,1545984186000
Farm 1,Farm 1,0.4256152972437628,-0.4510315002019844,0.63833758495634,1547280184000
Farm 1,Farm 1,0.518953546426383,-0.5589382419496908,0.7783205711753848,1547712188000
Farm 1,Farm 1,0.4720768793173521,-0.4970220342578977,0.7080150807354147,1549008186000
Farm 1,Farm 1,0.4030391761253601,-0.4289549801940199,0.6044795737142821,1549440189000
Farm 1,Farm 1,0.3829066160987087,-0.4045559090004044,0.5742966519189471,1550304189000
Farm 1,Farm 1,0.4839374446300288,-0.522420182338173,0.7258093342310549,1551600184000
Farm 1,Farm 1,0.4470621368376422,-0.4868119250459969,0.6705067469876376,1552032186000
Farm 1,Farm 1,0.3670138903301042,-0.4088789463525908,0.5504525398008966,1552464185130
Farm 1,Farm 1,0.4598127025984213,-0.501330867746392,0.6896334563076054,1552896187000
Farm 1,Farm 1,0.2996877434862676,-0.3320600427796977,0.4494741083652198,1553328187000
Farm 1,Farm 1,0.4351270445894491,-0.4761394492747985,0.6526123222096705,1553760190000
Farm 1,Farm 1,0.44370977442671,-0.4866604625386043,0.6654864928609404,1554192189000
Farm 1,Farm 1,0.43369960248777,-0.4655275259789849,0.6504755877249591,1555056191000
Farm 1,Farm 1,0.3443895541428778,-0.3786729932828157,0.5165260591261474,1555488195000
Farm 1,Farm 1,0.3183745435593017,-0.3663866394749303,0.4775120200439092,1555920192000
Farm 1,Farm 1,0.2303910683556256,-0.2725791690837555,0.3455500550670961,1556352196000
Farm 1,Farm 1,0.3357114107945109,-0.3763957027034159,0.5035127673930163,1556784193000
Farm 1,Farm 1,0.3290720253188766,-0.3692073038099239,0.4935555533659453,1557216197494
Farm 1,Farm 1,0.287863224922945,-0.3230871862866367,0.4317511198559791,1557648193000
Farm 1,Farm 1,0.3591335261455152,-0.3922829456543792,0.5386416149586963,1558080197000
Farm 1,Farm 1,0.3660528373757789,-0.4070256032186132,0.5490226679147189,1558944197000
Farm 1,Farm 1,0.3128104935307129,-0.3571411284619352,0.4691668775182617,1559376191000
Farm 1,Farm 1,0.3644483216197721,-0.40182391591938,0.5466160365550957,1559808197000
Farm 1,Farm 1,0.2386256159756918,-0.2752300037724737,0.3579064155010625,1560240192000
Farm 1,Farm 1,0.3677142438729139,-0.4145447741576141,0.5515146820975704,1561104193000
Farm 1,Farm 1,0.3350875468482883,-0.3813846142223293,0.5025782880718437,1561536197000
Farm 1,Farm 1,0.3903049439926805,-0.4352654025696069,0.585397022437291,1561968194070
Farm 1,Farm 1,0.3863559912594103,-0.4324202837134714,0.5794732293678585,1562832194000
Farm 1,Farm 1,0.377444431319924,-0.4279253928688212,0.5661074591983977,1563264198071
Farm 1,Farm 1,0.3546648637196447,-0.4063965278187629,0.5319418689968525,1563696194426
Farm 1,Farm 1,0.3221736433753359,-0.3647528984698676,0.4832122377071068,1564128197645
Farm 1,Farm 1,0.0905201088717692,-0.1330762305133901,0.1357674176006952,1564560193973
Farm 1,Farm 1,0.3903324846526165,-0.4398330713280091,0.5854366941823606,1564992196856
Farm 1,Farm 1,0.3769252552008661,-0.4261394536799255,0.5653282652595017,1565424193106
Farm 1,Farm 1,0.3558505920195502,-0.4037706949142219,0.533717214280232,1565856195637
Farm 1,Farm 1,0.322248478665102,-0.3695250240533402,0.4833210883448561,1566288191855
Farm 1,Farm 1,0.360554647576723,-0.4057718911396359,0.5407702224530209,1566720194000
Farm 1,Farm 1,0.3557516244903691,-0.3986165439067957,0.5335681776582867,1567152190183
Farm 1,Farm 1,0.3380775531269201,-0.3763322504967358,0.507057867564447,1568016188035
Farm 1,Farm 1,0.3262811390847109,-0.3687224725253785,0.4893651037480065,1568448189502
Farm 1,Farm 1,0.3414677628478209,-0.3894916897343608,0.512141933566207,1568880189093
Farm 1,Farm 1,0.3493421776878191,-0.395449401930381,0.5239497844653727,1569312189049
Farm 1,Farm 1,0.3372452318988948,-0.3809010436997664,0.5058061575433421,1569744190762
Farm 1,Farm 1,0.3502423654702534,-0.391368356274479,0.5252975948556987,1570176190043
Farm 1,Farm 1,0.3350407779649181,-0.3776639675653737,0.5024986702414431,1570608191890
Farm 1,Farm 1,0.3545402545103679,-0.3916460729307666,0.5317427509430516,1571040190505
Farm 1,Farm 1,0.4003092246599642,-0.4433676275663292,0.6003860340489028,1571472192513
Farm 1,Farm 1,0.4193890530309345,-0.4692770038431215,0.6289971309009001,1572336192564
Farm 1,Farm 1,0.3999593569926688,-0.4462259616141428,0.5998566410322907,1572768189647
Farm 1,Farm 1,0.3469257328175534,-0.3782989917837934,0.5203195788024675,1573200191941
Farm 1,Farm 1,0.0522206293389669,-0.0672677508788896,0.0783248646211677,1573632188300
Farm 1,Farm 1,0.426560956207248,-0.4665939739962257,0.6397518345452944,1574496186278
Farm 1,Farm 1,0.4237304622108132,-0.4573578708831665,0.6355082246258664,1574928188883
Farm 1,Farm 1,0.4923082792332348,-0.5435530351820955,0.7383539688158333,1575360183622
Farm 1,Farm 1,0.4953957826015654,-0.5485897816504487,0.7429852262780976,1575792186357
Farm 1,Farm 1,0.440347609028487,-0.4894081984939673,0.6604241310016081,1576224183768
Farm 1,Farm 1,0.4440162294596707,-0.4968901859140684,0.6659301302900463,1576656183267
Farm 1,Farm 1,0.4851073598015142,-0.5455974219955126,0.7275531205531643,1577520183932
