EVI,NDVI,NDWI,day,month,time,year,timestamp,SAR_VH,SAR_VV
-0.4502463037943018,0.0565064806163152,-0.0726504763855731,13,11,1573632188300,2019,2019-11-13 08:03:08.300,-19.067050841445756,-11.464132710209357
0.7317291093750846,0.2517772399311897,-0.3009978970762665,28,11,1574928188883,2019,2019-11-28 08:03:08.883,-19.46193396370191,-11.529583052786066
1.167351852127202,0.2679363139937536,-0.3010449637995883,6,12,1575619978708,2019,2019-12-06 08:12:58.708,-19.556620257049822,-11.640616246727026
0.6082261568355737,0.3145513040752957,-0.3891060525442434,8,12,1575792186357,2019,2019-12-08 08:03:06.357,-19.556620257049822,-11.640616246727026
0.6003450477086256,0.2828008625541964,-0.3558579329770203,18,12,1576656183267,2019,2019-12-18 08:03:03.267,-19.83010985250524,-11.654271557611546
0.7931974752335949,0.260928738923359,-0.3091177861632198,21,12,1576915978770,2019,2019-12-21 08:12:58.770,-19.83010985250524,-11.654271557611546
1.0499186538062333,0.2191492447529309,-0.2570324554620905,23,12,1577088184313,2019,2019-12-23 08:03:04.313,-19.83010985250524,-11.654271557611546
0.6335544715599815,0.3057870307385276,-0.3835355494384145,2,1,1577952184314,2020,2020-01-02 08:03:04.314,-19.522609995297884,-11.433413136634153
-2.102684486435176,0.1446293324958937,-0.162815691827949,12,1,1578816183787,2020,2020-01-12 08:03:03.787,-19.627402736844097,-11.882922809900547
0.8624302095942231,0.2112599407811062,-0.2577043448712052,25,1,1579939977646,2020,2020-01-25 08:12:57.646,-19.848362629158213,-11.7952019641829
0.614604743419093,0.3041781912051375,-0.3858585524479681,27,1,1580112182262,2020,2020-01-27 08:03:02.262,-19.848362629158213,-11.7952019641829
1.3015916407427508,0.19388706329423,-0.2291494274402188,4,2,1580803978252,2020,2020-02-04 08:12:58.252,-19.46388217486644,-11.683944996318749
0.6028024470638725,0.2464427705105072,-0.3169299978492253,6,2,1580976180989,2020,2020-02-06 08:03:00.989,-19.46388217486644,-11.683944996318749
0.8004835694856248,0.2318393242221329,-0.2947884987960974,9,2,1581235977003,2020,2020-02-09 08:12:57.003,-19.46388217486644,-11.683944996318749
-3.88210867644316,0.1891983920028384,-0.2108089803223428,19,2,1582099978772,2020,2020-02-19 08:12:58.772,-19.155231118427945,-11.686111191253502
0.6405195879673996,0.2795931134410936,-0.3546081094451966,21,2,1582272185823,2020,2020-02-21 08:03:05.823,-19.155231118427945,-11.686111191253502
0.6562492012086446,0.2875681032505325,-0.3606465584622216,2,3,1583136186796,2020,2020-03-02 08:03:06.796,-18.98874594584066,-11.566810948114476
0.4115651455391876,0.1535954391314231,-0.2215416588261553,6,4,1586160186295,2020,2020-04-06 08:03:06.295,-19.045537029919775,-11.508188828448151
0.4808030818801276,0.1953617608313149,-0.2673940782500404,16,4,1587024189092,2020,2020-04-16 08:03:09.092,-19.169431149271915,-11.536104946668832
0.5678262717111713,0.2141446978226021,-0.2777553473618263,21,4,1587456183971,2020,2020-04-21 08:03:03.971,-19.169431149271915,-11.536104946668832
0.7032924401372372,0.2701451434720608,-0.3295450794131911,1,5,1588320185603,2020,2020-05-01 08:03:05.603,-18.677078945170766,-11.351885441390598
0.6314731147152933,0.2253629620936708,-0.2839578384768963,11,5,1589184187845,2020,2020-05-11 08:03:07.845,-18.611275291724578,-11.147426984963898
0.5405780767875789,0.221122958578387,-0.2837861282794143,26,5,1590480195296,2020,2020-05-26 08:03:15.296,-18.472679660507453,-11.117555637665806
0.4497440297186151,0.1524412598979315,-0.2112980696463995,5,6,1591344195614,2020,2020-06-05 08:03:15.614,-18.503186861976907,-11.214196466797826
0.4469069368918775,0.1863971407134604,-0.2605925062389916,15,6,1592208195439,2020,2020-06-15 08:03:15.439,-18.404695154470122,-11.041019726319146
0.5921416998158894,0.2229301993103651,-0.2868848939651491,20,6,1592640191845,2020,2020-06-20 08:03:11.845,-18.404695154470122,-11.041019726319146
0.5947513476981572,0.2378944900904715,-0.3060999449096406,10,7,1594368191086,2020,2020-07-10 08:03:11.086,-18.287079084601004,-10.877444670164435
0.9434733258705352,0.2225062564136091,-0.2582708646761203,13,7,1594627986198,2020,2020-07-13 08:13:06.198,-18.287079084601004,-10.877444670164435
1.0860543627359067,0.175657960965202,-0.2110070834323026,23,7,1595491986736,2020,2020-07-23 08:13:06.736,-18.359202987547217,-10.807280699319993
0.4866163321433206,0.1305863359854697,-0.1756925449910323,25,7,1595664194818,2020,2020-07-25 08:03:14.818,-18.359202987547217,-10.807280699319993
0.6198769335927647,0.2528974244365428,-0.3119373560677512,4,8,1596528195256,2020,2020-08-04 08:03:15.256,-18.651450335692623,-11.09324014379992
