EVI,NDVI,NDWI,day,month,time,year,timestamp,SAR_VH,SAR_VV
0.7966374919593293,0.327020404901251,-0.3773349893465664,28,12,1545984186000,2018,2018-12-28 08:03:06.000,-17.790961790095665,-10.439163858894938
0.6514549182416619,0.2768378741696925,-0.3274673566557344,12,1,1547280184000,2019,2019-01-12 08:03:04.000,-17.627540318111965,-9.655856413595322
0.7207631420842696,0.3391800213918511,-0.4024379029612617,17,1,1547712188000,2019,2019-01-17 08:03:08.000,-17.82671340174601,-10.321669013129279
0.6828429921829353,0.2996151915057471,-0.3518478980861118,1,2,1549008186000,2019,2019-02-01 08:03:06.000,-17.352921005680187,-10.054493875721688
0.7586444736506447,0.2828526492884175,-0.3305501774118542,6,2,1549440189000,2019,2019-02-06 08:03:09.000,-17.26836412764569,-9.208213275611932
0.772452619574744,0.3141675856993072,-0.3587464394337875,11,2,1549872186000,2019,2019-02-11 08:03:06.000,-17.647847710951392,-10.54092345284565
0.7651550961277735,0.2709164315280356,-0.3195811670538695,16,2,1550304189000,2019,2019-02-16 08:03:09.000,-17.594947765882278,-10.020259013635567
0.6847902970078713,0.3220840320954333,-0.3855870037412038,3,3,1551600184000,2019,2019-03-03 08:03:04.000,-17.83572166821904,-9.769002211207233
0.7116946489859981,0.2976873118980102,-0.3604491629767016,8,3,1552032186000,2019,2019-03-08 08:03:06.000,-17.606483109471,-10.465879797093821
0.603742888832464,0.2506317760518181,-0.3126323559516842,13,3,1552464185130,2019,2019-03-13 08:03:05.130,-17.34227215078601,-9.823912656074492
0.6626848284399753,0.2939461564207222,-0.3595437956914771,18,3,1552896187000,2019,2019-03-18 08:03:07.000,-17.85538448265211,-10.531402032759765
0.6620868823661051,0.2798555638549785,-0.3488901287505723,28,3,1553760190000,2019,2019-03-28 08:03:10.000,-17.651650749876513,-9.86332312792598
0.5911833859862792,0.2744046425072933,-0.3470805774100829,2,4,1554192189000,2019,2019-04-02 08:03:09.000,-17.86603331374689,-10.712284891420333
0.6242972775247053,0.2533681425957993,-0.3189030875717685,12,4,1555056191000,2019,2019-04-12 08:03:11.000,-17.70464914096211,-10.55555117070575
0.5907175490481666,0.2112416331085222,-0.2761080668719917,17,4,1555488195000,2019,2019-04-17 08:03:15.000,-17.647873689222276,-10.086771929438004
0.5387273216558567,0.2186772985597415,-0.2903381436025911,22,4,1555920192000,2019,2019-04-22 08:03:12.000,-17.647873689222276,-10.086771929438004
0.531863092051563,0.1708399270119547,-0.2318582810484931,27,4,1556352196000,2019,2019-04-27 08:03:16.000,-17.44299481551034,-10.553980505998567
0.5101611668253754,0.2008534536771674,-0.2712999123322991,2,5,1556784193000,2019,2019-05-02 08:03:13.000,-17.25982781615409,-9.810272606776214
0.5498779237382257,0.1981591982734782,-0.2671353673026231,7,5,1557216197494,2019,2019-05-07 08:03:17.494,-17.570229691784856,-10.519359534483304
0.5370927533117258,0.1806922398613786,-0.2423362954354482,12,5,1557648193000,2019,2019-05-12 08:03:13.000,-17.503287150509287,-9.665248550055251
0.6295903361033257,0.2145188116804111,-0.2777613849881967,17,5,1558080197000,2019,2019-05-17 08:03:17.000,-17.391716358390834,-10.663017029109007
0.5498866279296974,0.2154205187628922,-0.2918371016920282,27,5,1558944197000,2019,2019-05-27 08:03:17.000,-17.61361359494887,-9.747250109127565
0.4887019653196622,0.1872651787235059,-0.2622638799815319,1,6,1559376191000,2019,2019-06-01 08:03:11.000,-17.282567059364176,-10.526620254124198
0.576144150777524,0.2102024418680236,-0.2842106686793642,6,6,1559808197000,2019,2019-06-06 08:03:17.000,-17.267665998673742,-9.489905349568645
0.6272426000445964,0.1570988529505686,-0.1993612492910942,11,6,1560240192000,2019,2019-06-11 08:03:12.000,-17.305595736632963,-10.557735728430977
-0.5384902245938609,0.1216221523269738,-0.1596622658043836,16,6,1560672196807,2019,2019-06-16 08:03:16.807,-17.6955889704085,-9.594202715089075
0.5075061848047601,0.2140595535202691,-0.2909267679752991,21,6,1561104193000,2019,2019-06-21 08:03:13.000,-17.6955889704085,-9.594202715089075
0.5534882345010179,0.2033780900198405,-0.2787710850795138,26,6,1561536197000,2019,2019-06-26 08:03:17.000,-17.421615670524947,-10.225419432960233
0.494087907581956,0.219578776264927,-0.2993163264997313,1,7,1561968194070,2019,2019-07-01 08:03:14.070,-17.109682863123798,-9.31293939024026
-0.1467391744946483,0.0377968855101559,-0.0578252553005092,6,7,1562400198000,2019,2019-07-06 08:03:18.000,-17.226562628352617,-10.142523655556175
0.4841446487983484,0.2146944374147237,-0.2953342281542896,11,7,1562832194000,2019,2019-07-11 08:03:14.000,-17.44607585549378,-9.46684912176894
0.5252824025493502,0.2287586282538887,-0.3082683352376174,16,7,1563264198071,2019,2019-07-16 08:03:18.071,-17.29955011402223,-10.356338445212845
0.5791811541210709,0.1724491857184839,-0.2371117475945324,26,7,1564128197645,2019,2019-07-26 08:03:17.645,-17.18568359932964,-9.23365794047556
0.5089129633065287,0.2168242891333302,-0.2973495516215895,10,8,1565424193106,2019,2019-08-10 08:03:13.106,-17.17798142593357,-10.44416989318147
0.5547908598949141,0.207202020218988,-0.282652501023878,15,8,1565856195637,2019,2019-08-15 08:03:15.637,-17.239916506875108,-9.745345813887319
0.4831549663839973,0.1892864380353724,-0.264656195946237,20,8,1566288191855,2019,2019-08-20 08:03:11.855,-17.239916506875108,-9.745345813887319
0.5268323469567449,0.2050445343487034,-0.284438673243153,25,8,1566720194000,2019,2019-08-25 08:03:14.000,-17.301708616344175,-10.266775260159147
