EVI,NDVI,NDWI,day,month,time,year,timestamp
0.7120248548900171,0.31920219846938147,-0.37280525272022036,18,12,1545120183000,2018,2018-12-18 08:03:03.000
0.8000382282606764,0.3274669710765858,-0.3761410441916472,28,12,1545984186000,2018,2018-12-28 08:03:06.000
0.6551948912359106,0.2784195181873585,-0.3276400986444689,12,1,1547280184000,2019,2019-01-12 08:03:04.000
0.8152456286382271,0.3426675005819314,-0.40329432043172003,17,1,1547712188000,2019,2019-01-17 08:03:08.000
0.6967588585246488,0.30284753985413293,-0.35268240024783043,1,2,1549008186000,2019,2019-02-01 08:03:06.000
0.7955530202589807,0.28369870622438725,-0.32963982508012785,6,2,1549440189000,2019,2019-02-06 08:03:09.000
0.7575355497176613,0.3167489480243084,-0.35900470073285184,11,2,1549872186000,2019,2019-02-11 08:03:06.000
0.738976551762991,0.25993489164457195,-0.30429306801191564,16,2,1550304189000,2019,2019-02-16 08:03:09.000
0.693103292523508,0.3236231817704197,-0.3832353300984695,3,3,1551600184000,2019,2019-03-03 08:03:04.000
0.7395549098785065,0.2990158036665015,-0.35844366555002394,8,3,1552032186000,2019,2019-03-08 08:03:06.000
0.6111311846735481,0.25279020095240506,-0.3128770885933717,13,3,1552464185130,2019,2019-03-13 08:03:05.130
0.657801715715056,0.29761230190888155,-0.35991100362220396,18,3,1552896187000,2019,2019-03-18 08:03:07.000
0.6040041854724533,0.23374112527800356,-0.2933519453389036,23,3,1553328187000,2019,2019-03-23 08:03:07.000
0.6886909496029492,0.28581889446126957,-0.35059646106543396,28,3,1553760190000,2019,2019-03-28 08:03:10.000
0.5884148730644122,0.2829717008153487,-0.35099994388521144,2,4,1554192189000,2019,2019-04-02 08:03:09.000
0.6622476913055274,0.26438616187470526,-0.32462947163610006,12,4,1555056191000,2019,2019-04-12 08:03:11.000
0.635254500121021,0.22095361127505941,-0.2810852435640077,17,4,1555488195000,2019,2019-04-17 08:03:15.000
0.5766521054485488,0.22894232153720143,-0.2962195128372937,22,4,1555920192000,2019,2019-04-22 08:03:12.000
0.5568087363747259,0.17625457158346106,-0.2342031450176727,27,4,1556352196000,2019,2019-04-27 08:03:16.000
0.5391690232581015,0.21041682619959742,-0.2766413728137212,2,5,1556784193000,2019,2019-05-02 08:03:13.000
0.5665117538313532,0.20246657430495746,-0.2677949525561418,7,5,1557216197494,2019,2019-05-07 08:03:17.494
0.5548286292209609,0.18679786550025826,-0.24572374667138597,12,5,1557648193000,2019,2019-05-12 08:03:13.000
0.6516829653795467,0.21915575827853417,-0.278622965259549,17,5,1558080197000,2019,2019-05-17 08:03:17.000
0.5686499945664308,0.22187620910762004,-0.2935283052097618,27,5,1558944197000,2019,2019-05-27 08:03:17.000
0.512088178382123,0.19494456813623,-0.2666422265842854,1,6,1559376191000,2019,2019-06-01 08:03:11.000
0.6040844246968301,0.2182924956101539,-0.28748841240972534,6,6,1559808197000,2019,2019-06-06 08:03:17.000
0.6469000648872502,0.15816516854038085,-0.1909267248084673,11,6,1560240192000,2019,2019-06-11 08:03:12.000
-2.0831527846479405,0.12773123398432634,-0.1621551250531075,16,6,1560672196807,2019,2019-06-16 08:03:16.807
0.5419816721879074,0.2240880668207669,-0.2950022646055529,21,6,1561104193000,2019,2019-06-21 08:03:13.000
0.5875400532614063,0.21373976516622553,-0.28441888972056056,26,6,1561536197000,2019,2019-06-26 08:03:17.000
0.5284004895557447,0.23134460806146412,-0.3048267799520086,1,7,1561968194070,2019,2019-07-01 08:03:14.070
-0.2537652103989626,0.04470772169788897,-0.0600708639569802,6,7,1562400198000,2019,2019-07-06 08:03:18.000
0.5219147537295629,0.22816943850033936,-0.3019883545528881,11,7,1562832194000,2019,2019-07-11 08:03:14.000
0.5525810517291667,0.2415768839079206,-0.3142996875935135,16,7,1563264198071,2019,2019-07-16 08:03:18.071
0.5144410937944497,0.21879015468612606,-0.29276735798155495,21,7,1563696194426,2019,2019-07-21 08:03:14.426
0.6701656375574225,0.17717244544978308,-0.2370547650674933,26,7,1564128197645,2019,2019-07-26 08:03:17.645
0.583806388790516,0.24351592926902021,-0.3175270116751243,5,8,1564992196856,2019,2019-08-05 08:03:16.856
0.540383494403257,0.22798480106669688,-0.30274513561624683,10,8,1565424193106,2019,2019-08-10 08:03:13.106
0.5972514577727261,0.21760933210541533,-0.28755330078009045,15,8,1565856195637,2019,2019-08-15 08:03:15.637
0.5093396190615856,0.19912236466495578,-0.2700353723732004,20,8,1566288191855,2019,2019-08-20 08:03:11.855
0.5605299367723395,0.21635232914530125,-0.29077571514328204,25,8,1566720194000,2019,2019-08-25 08:03:14.000
0.5390895519948797,0.2138677361614694,-0.2877984653603525,30,8,1567152190183,2019,2019-08-30 08:03:10.183
0.6545889442957931,0.1946337525022438,-0.25741645531665247,4,9,1567584191984,2019,2019-09-04 08:03:11.984
0.5536703749061679,0.2096678026397856,-0.28049019102833544,9,9,1568016188035,2019,2019-09-09 08:03:08.035
0.5839727711653486,0.20864378318164906,-0.27453525368753523,14,9,1568448189502,2019,2019-09-14 08:03:09.502
0.55095846135399,0.22453523160009878,-0.29820067177635695,19,9,1568880189093,2019,2019-09-19 08:03:09.093
0.6001857814945439,0.22198629895221264,-0.294227189773915,24,9,1569312189049,2019,2019-09-24 08:03:09.049
0.5075630302954038,0.19880755330588698,-0.26990878958955367,29,9,1569744190762,2019,2019-09-29 08:03:10.762
0.6039119171322979,0.21965251736842623,-0.28596407046717,4,10,1570176190043,2019,2019-10-04 08:03:10.043
