EVI,NDVI,NDWI,day,month,time,year,timestamp
0.9110005275744518,0.3995140038648558,-0.4406347303129566,18,12,1545120183000,2018,2018-12-18 08:03:03.000
0.9918854720780698,0.4096312124880691,-0.4440684098948166,28,12,1545984186000,2018,2018-12-28 08:03:06.000
0.8536729303053372,0.3480700884891868,-0.38368014004439743,12,1,1547280184000,2019,2019-01-12 08:03:04.000
0.8972040837455705,0.4095897067388275,-0.4598165382694815,17,1,1547712188000,2019,2019-01-17 08:03:08.000
0.8692937527464679,0.3749274069016796,-0.41031512739734394,1,2,1549008186000,2019,2019-02-01 08:03:06.000
0.9404320680561815,0.3349111590712303,-0.36790231062379786,6,2,1549440189000,2019,2019-02-06 08:03:09.000
0.9394438389172786,0.38392547977325175,-0.4156381958779299,11,2,1549872186000,2019,2019-02-11 08:03:06.000
1.1729187210614833,0.3695535995437021,-0.39041988039347925,16,2,1550304189000,2019,2019-02-16 08:03:09.000
0.8365924674011778,0.3859538078923503,-0.4343035915958978,3,3,1551600184000,2019,2019-03-03 08:03:04.000
0.892713697236716,0.36029227536530983,-0.40761899190363765,8,3,1552032186000,2019,2019-03-08 08:03:06.000
0.7672540810752709,0.30537702084459223,-0.3533933896055196,13,3,1552464185130,2019,2019-03-13 08:03:05.130
0.8476645534064212,0.35993018736569143,-0.4113672834565559,18,3,1552896187000,2019,2019-03-18 08:03:07.000
0.9512197459920423,0.2608721752722764,-0.2965843594958871,23,3,1553328187000,2019,2019-03-23 08:03:07.000
0.8267286570648381,0.34059181170222685,-0.3944331989796773,28,3,1553760190000,2019,2019-03-28 08:03:10.000
0.7552854655875233,0.33796812103700563,-0.39397493736908606,2,4,1554192189000,2019,2019-04-02 08:03:09.000
0.881787844824331,0.337524883051663,-0.37550819182253187,12,4,1555056191000,2019,2019-04-12 08:03:11.000
0.8346305070735577,0.27627776291354755,-0.3167266968708013,17,4,1555488195000,2019,2019-04-17 08:03:15.000
0.7593514042956439,0.28987557952835136,-0.33730675738809557,22,4,1555920192000,2019,2019-04-22 08:03:12.000
0.7612008199772102,0.21845767083814435,-0.2574130294128933,27,4,1556352196000,2019,2019-04-27 08:03:16.000
0.7608743266339995,0.2783582019132662,-0.32308554225134956,2,5,1556784193000,2019,2019-05-02 08:03:13.000
0.8346110852831008,0.27985218594057126,-0.32197028004360156,7,5,1557216197494,2019,2019-05-07 08:03:17.494
0.9116639583024871,0.26487942509988033,-0.2940538697417605,12,5,1557648193000,2019,2019-05-12 08:03:13.000
0.9075511446295985,0.29316615420601777,-0.3286943776340136,17,5,1558080197000,2019,2019-05-17 08:03:17.000
0.825508247243677,0.2972194257455503,-0.3446845993244988,27,5,1558944197000,2019,2019-05-27 08:03:17.000
0.7186571589653541,0.25228598893876775,-0.3045071462039204,1,6,1559376191000,2019,2019-06-01 08:03:11.000
0.8301114333441362,0.2872317270870428,-0.3370047596795652,6,6,1559808197000,2019,2019-06-06 08:03:17.000
0.7946514498768817,0.18094822140782252,-0.23384601982011524,11,6,1560240192000,2019,2019-06-11 08:03:12.000
0.6551591663922416,-7.701442493855626e-05,-0.05568458672179011,16,6,1560672196807,2019,2019-06-16 08:03:16.807
0.6832589369048018,0.28430676593483195,-0.33993251733476604,21,6,1561104193000,2019,2019-06-21 08:03:13.000
0.7711856565670053,0.27262165534421917,-0.3261221120711661,26,6,1561536197000,2019,2019-06-26 08:03:17.000
0.7100021985338515,0.3015386289168423,-0.3557785401525233,1,7,1561968194070,2019,2019-07-01 08:03:14.070
0.9458724676364746,0.22812871038007917,-0.26819542215367187,6,7,1562400198000,2019,2019-07-06 08:03:18.000
0.7428694391111577,0.30745961273888583,-0.35889078853583195,11,7,1562832194000,2019,2019-07-11 08:03:14.000
0.8006728498072246,0.3202076925454785,-0.3714111397214653,16,7,1563264198071,2019,2019-07-16 08:03:18.071
0.7022406184966874,0.29461510149420744,-0.3472620317945847,21,7,1563696194426,2019,2019-07-21 08:03:14.426
0.8446074126803012,0.2728354501102574,-0.3148621330294139,26,7,1564128197645,2019,2019-07-26 08:03:17.645
0.8014501287781605,0.3205828529580018,-0.3729233209996529,5,8,1564992196856,2019,2019-08-05 08:03:16.856
0.7392883214701638,0.30382484176616475,-0.35715056663843725,10,8,1565424193106,2019,2019-08-10 08:03:13.106
0.7552223604385362,0.28662733654686856,-0.33744600007466147,15,8,1565856195637,2019,2019-08-15 08:03:15.637
0.6977555118973509,0.2627882716022425,-0.3154742937334237,20,8,1566288191855,2019,2019-08-20 08:03:11.855
0.8074747126871061,0.29142323930602165,-0.34474636815125,25,8,1566720194000,2019,2019-08-25 08:03:14.000
0.7736989237308979,0.28013741690247657,-0.33257122107114534,30,8,1567152190183,2019,2019-08-30 08:03:10.183
1.0017844467131976,0.2659406390076306,-0.30539083304330317,4,9,1567584191984,2019,2019-09-04 08:03:11.984
0.8293925781716225,0.2863884668792346,-0.33268052500891643,9,9,1568016188035,2019,2019-09-09 08:03:08.035
0.8368572828177586,0.27717380258779845,-0.3241097940040288,14,9,1568448189502,2019,2019-09-14 08:03:09.502
0.7253924071448178,0.27674401040196556,-0.3322445567621451,19,9,1568880189093,2019,2019-09-19 08:03:09.093
0.8193209360411359,0.2815423733319358,-0.33701165572015146,24,9,1569312189049,2019,2019-09-24 08:03:09.049
0.7035669547572617,0.2633678796664203,-0.31649586363785204,29,9,1569744190762,2019,2019-09-29 08:03:10.762
0.7973650660861562,0.276219441744444,-0.32746228103190755,4,10,1570176190043,2019,2019-10-04 08:03:10.043
